Symbol,MyID,Name,IsETF
MUR,5113,Murphy Oil Corp.,0
MVO,5122,MV Oil Trust,0
MXC,5127,Mexco Energy Corp,0
MYGN,5140,"Myriad Genetics, Inc.",0
NBIX,5185,"Neurocrine Biosciences, Inc.",0
NCLH,5201,Norwegian Cruise Line Holdings Ltd,0
NCNA,9402,NuCana plc - ADR,0
NDAQ,5210,Nasdaq Inc - 144A,0
NDSN,5217,Nordson Corp.,0
NEE,5221,NextEra Energy Inc,0
NEM,5231,Newmont Corp,0
NFLX,5256,Netflix Inc.,0
NI,5283,NiSource Inc,0
NIU,10944,Niu Technologies - ADR,0
NKE,5296,"Nike, Inc. - Class B",0
NKTR,5299,Nektar Therapeutics,0
NLTX,11871,Neoleukin Therapeutics Inc,0
NNDM,5331,Nano Dimension Ltd - ADR,0
NOC,5341,Northrop Grumman Corp.,0
NOG,5343,Northern Oil and Gas Inc.,0
NOW,5353,ServiceNow Inc,0
NRG,5366,NRG Energy Inc.,0
NRT,5371,North European Oil Royalty Trust - Unit,0
NSC,5377,Norfolk Southern Corp.,0
NSTG,5390,Nanostring Technologies Inc,0
NTAP,5393,Netapp Inc,0
NTES,5398,NetEase Inc - ADR,0
NTLA,5408,Intellia Therapeutics Inc,0
NTRA,5412,Natera Inc,0
NTRS,5415,Northern Trust Corp.,0
NUE,5422,Nucor Corp.,0
NVAX,5440,"Novavax, Inc.",0
NVCR,5442,NovoCure Ltd,0
NVDA,5443,NVIDIA Corp,0
NVR,5457,NVR Inc.,0
NVS,5459,Novartis AG - ADR,0
NVTA,5460,Invitae Corp,0
NWL,5467,Newell Brands Inc,0
NWS,5471,News Corp - Class B,0
NWSA,5472,News Corp - Class A,0
NXE,8447,NexGen Energy Ltd,0
NXPI,5482,NXP Semiconductors NV,0
O,5506,Realty Income Corp.,0
ODFL,5534,"Old Dominion Freight Line, Inc.",0
OKE,5575,Oneok Inc.,0
OKTA,5578,Okta Inc - Class A,0
OMC,5590,"Omnicom Group, Inc.",0
OMER,5594,Omeros Corporation,0
ON,5600,ON Semiconductor Corp.,0
ONVO,5619,Organovo Holdings Inc,0
OPK,5627,Opko Health Inc,0
ORCL,5640,Oracle Corp.,0
ORLY,5646,"O`Reilly Automotive, Inc.",0
ORTX,10990,Orchard Therapeutics plc - ADR,0
OVID,8409,Ovid Therapeutics Inc,0
OXY,5682,Occidental Petroleum Corp.,0
PACB,5693,Pacific Biosciences of California Inc,0
PANW,5707,Palo Alto Networks Inc,0
PARA,20673,Paramount Global - Class B,0
PARR,5709,Par Pacific Holdings Inc,0
PAYC,5716,Paycom Software Inc,0
PAYX,5717,Paychex Inc.,0
PBT,5743,Permian Basin Royalty Trust,0
PBYI,5745,Puma Biotechnology Inc,0
PCAR,5746,Paccar Inc.,0
PCG,5750,PG&E Corp.,0
PDD,10609,PDD Holdings Inc - ADR,0
PEAK,12577,Healthpeak Properties Inc.,0
PED,5795,PEDEVCO Corp,0
PEG,5796,Public Service Enterprise Group Inc.,0
PEP,5809,PepsiCo Inc,0
PFE,5827,Pfizer Inc.,0
PFF,5828,BlackRock Institutional Trust Company N.A. - iShares Trust iShares Preferred and Income Securities ETF,0
PFG,5830,Principal Financial Group Inc - Registered Shares,0
PG,5852,Procter & Gamble Co.,0
PGEN,14778,Precigen Inc,0
